date,forex_USDMYR=X,sp500,oil_price,inflation,EPU,forex_daily_returns
2021-01-04,4.019999980926514,0.0,0.0,0.0,0.0,0.0
2021-01-05,4.004000186920166,4.850905974599495,0.7082595157549276,0.0,0.0,-0.39800482791694236
2021-01-06,4.014999866485596,1.4019642672962185,0.5709842747752214,0.0,0.0,0.2747172590391589
2021-01-07,4.007999897003174,0.39502421236448093,1.4847403800101189,0.0,0.0,-0.17434544745200675
2021-01-08,4.037499904632568,2.7739519902017173,0.5491862685268911,0.0,0.0,0.7360281533802526
2021-01-11,4.03000020980835,0.01913920599532215,-0.6554750898592476,0.0,0.0,-0.185750959786124
2021-01-12,4.045000076293945,1.8373188219572345,0.04157884466327033,0.0,0.0,0.3722051043344443
2021-01-13,4.052499771118164,-0.5638023721524332,0.22756417379066196,0.0,0.0,0.18540654345524654
2021-01-14,4.041999816894531,1.247400962607248,-0.37534511943366766,0.0,0.0,-0.25909820645679815
2021-01-15,4.035999774932861,-2.2587252032214677,-0.7190027975370938,0.0,0.0,-0.14844241052637264
2021-01-18,4.033999919891357,0.0,0.0,0.0,0.0,-0.04955042500063289
2021-01-19,4.046000003814697,1.1841079538914112,0.8136379515524483,0.0,0.0,0.29747357862275337
2021-01-20,4.045499801635742,0.49075526326343155,1.3935625421946263,0.0,0.0,-0.01236288132683283
2021-01-21,4.043000221252441,-0.2066127101495785,0.03167233075522802,0.0,0.0,-0.06178668905855167
2021-01-22,4.0279998779296875,-1.618672300136037,-0.30106116552376383,0.0,0.0,-0.3710200965091004
2021-01-25,4.040500164031982,0.9565716388390433,0.36158389430824833,0.0,0.0,0.3103348182999399
2021-01-26,4.043000221252441,-0.3032022854352112,-0.14888337468982327,0.0,0.0,0.06187494416445283
2021-01-27,4.046500205993652,0.4561829708899623,-2.5677883699462,0.0,0.0,0.08656899702386145
2021-01-28,4.044000148773193,-0.964992121585273,0.9760625975629766,0.0,0.0,-0.06178319765697271
2021-01-29,4.044000148773193,-0.267480682537824,-1.9311475173124593,0.0,0.0,0.0
2021-02-01,4.039999961853027,2.586203935612885,1.6051767614439383,0.0,0.0,-0.0989165868695463
2021-02-02,4.039999961853027,2.2595688173889794,1.3898223484416938,0.0,0.0,0.0
2021-02-03,4.043000221252441,1.698320550915855,0.10087690809532646,0.0,0.0,0.07426384722137858
2021-02-04,4.048999786376953,0.9696551065604853,1.0853322230420792,0.0,0.0,0.1483938856341016
2021-02-05,4.056000232696533,1.1026123722783554,0.3897495164625342,0.0,0.0,0.17289322521412132
2021-02-08,4.067999839782715,1.9701016299795926,0.7399348360373592,0.0,0.0,0.2958482839682697
2021-02-09,4.063000202178955,0.6727607062894991,-0.11135249921484514,0.0,0.0,-0.12290161751891127
2021-02-10,4.046500205993652,0.5483202389950925,-0.03451849323593548,0.0,0.0,-0.4061037500429854
2021-02-11,4.041500091552734,-0.7498272399807271,0.16624551635393559,0.0,0.0,-0.12356639531395652
2021-02-12,4.039999961853027,2.111949702589211,0.47110331133788375,0.0,0.0,-0.03711814093094734
2021-02-15,4.039999961853027,0.0,0.0,0.0,0.0,0.0
2021-02-16,4.0329999923706055,0.9752782990619879,-0.056927241835114106,0.0,0.0,-0.17326657298311066
2021-02-17,4.027500152587891,1.8151543154644845,-0.03204020092266724,0.0,0.0,-0.13637093461738026
2021-02-18,4.0370001792907715,-1.0140643409782824,-0.4415835627354592,0.0,0.0,0.23587899051416006
2021-02-19,4.0395002365112305,-2.115001271670802,-0.18548966445751658,0.0,0.0,0.061928588293946873
2021-02-22,4.034999847412109,3.7981092779372005,-0.773283945815384,0.0,0.0,-0.11140955156888621
2021-02-23,4.0395002365112305,0.29272480983124627,0.12563181187927874,0.0,0.0,0.11153381088744307
2021-02-24,4.040999889373779,2.5133826784161206,1.135161376597904,0.0,0.0,0.037124712829417206
2021-02-25,4.039999961853027,0.4903472834673517,-2.447880752512621,0.0,0.0,-0.02474455699396083
2021-02-26,4.0370001792907715,-3.195338923819424,-0.47502141699028444,0.0,0.0,-0.07425204432131016
2021-03-01,4.052000045776367,-1.3983749761814046,2.3790763506800205,0.0,0.0,0.3715597180932173
2021-03-02,4.054999828338623,-1.4676771085198381,-0.8080851690870694,0.0,0.0,0.07403214532000213
2021-03-03,4.056000232696533,2.560667413049167,-1.306622187199813,0.0,0.0,0.02467088533317785
2021-03-04,4.05049991607666,4.161232216961652,-1.3417213930100202,0.0,0.0,-0.13560937633911863
2021-03-05,4.054999828338623,3.5406461569869485,1.949596819778221,0.0,0.0,0.11109523158123746
2021-03-08,4.072000026702881,-1.573601670085989,-0.5359231030161227,0.0,0.0,0.41924042130534467
2021-03-09,4.105000019073486,-1.598771509203245,1.415464230382213,0.0,0.0,0.8104123809971053
2021-03-10,4.114500045776367,0.6717704902752919,0.6030313342701321,0.0,0.0,0.23142574077319455
2021-03-11,4.125,2.4518841430783755,1.0395487004435822,0.0,0.0,0.2551939265236225
2021-03-12,4.105000019073486,-0.6210179545016681,0.10153984958789497,0.0,0.0,-0.4848480224609375
2021-03-15,4.116000175476074,-0.335316596031876,0.6491921301497117,0.0,0.0,0.2679697040554707
2021-03-16,4.110000133514404,-0.9022730438869253,-0.15696837343783798,0.0,0.0,-0.14577360801438788
2021-03-17,4.111499786376953,-0.308649025027008,0.287938213053085,0.0,0.0,0.03648790301293836
2021-03-18,4.11899995803833,-7.1207408402089385,-1.4760539319459198,0.0,0.0,0.18241936157281646
2021-03-19,4.109000205993652,2.3666636149088482,-0.060270397470363335,0.0,0.0,-0.24277135582784215
