date,forex
,USDMYR=X
2021-01-01,4.019999980926514
2021-01-04,4.019999980926514
2021-01-05,4.004000186920166
2021-01-06,4.014999866485596
2021-01-07,4.007999897003174
2021-01-08,4.037499904632568
2021-01-11,4.03000020980835
2021-01-12,4.045000076293945
2021-01-13,4.052499771118164
2021-01-14,4.041999816894531
2021-01-15,4.035999774932861
2021-01-18,4.033999919891357
2021-01-19,4.046000003814697
2021-01-20,4.045499801635742
2021-01-21,4.043000221252441
2021-01-22,4.0279998779296875
2021-01-25,4.040500164031982
2021-01-26,4.043000221252441
2021-01-27,4.046500205993652
2021-01-28,4.044000148773193
2021-01-29,4.044000148773193
2021-02-01,4.039999961853027
2021-02-02,4.039999961853027
2021-02-03,4.043000221252441
2021-02-04,4.048999786376953
2021-02-05,4.056000232696533
2021-02-08,4.067999839782715
2021-02-09,4.063000202178955
2021-02-10,4.046500205993652
2021-02-11,4.041500091552734
2021-02-12,4.039999961853027
2021-02-15,4.039999961853027
2021-02-16,4.0329999923706055
2021-02-17,4.027500152587891
2021-02-18,4.0370001792907715
2021-02-19,4.0395002365112305
2021-02-22,4.034999847412109
2021-02-23,4.0395002365112305
2021-02-24,4.040999889373779
2021-02-25,4.039999961853027
2021-02-26,4.0370001792907715
2021-03-01,4.052000045776367
2021-03-02,4.054999828338623
2021-03-03,4.056000232696533
2021-03-04,4.05049991607666
2021-03-05,4.054999828338623
2021-03-08,4.072000026702881
2021-03-09,4.105000019073486
2021-03-10,4.114500045776367
2021-03-11,4.125
2021-03-12,4.105000019073486
2021-03-15,4.116000175476074
2021-03-16,4.110000133514404
2021-03-17,4.111499786376953
2021-03-18,4.11899995803833
2021-03-19,4.109000205993652
2021-03-22,4.105000019073486
2021-03-23,4.110499858856201
2021-03-24,4.119999885559082
2021-03-25,4.129499912261963
2021-03-26,4.144000053405762
2021-03-29,4.144000053405762
2021-03-30,4.138999938964844
2021-03-31,4.14900016784668
2021-04-01,4.144000053405762
2021-04-02,4.144000053405762
2021-04-05,4.137499809265137
2021-04-06,4.139999866485596
2021-04-07,4.129000186920166
2021-04-08,4.129000186920166
2021-04-09,4.135000228881836
2021-04-12,4.132500171661377
2021-04-13,4.130499839782715
2021-04-14,4.131999969482422
2021-04-15,4.126999855041504
2021-04-16,4.123000144958496
2021-04-19,4.123499870300293
2021-04-20,4.120999813079834
2021-04-21,4.112500190734863
2021-04-22,4.118500232696533
2021-04-23,4.109799861907959
2021-04-26,4.10699987411499
2021-04-27,4.096499919891357
2021-04-28,4.09499979019165
2021-04-29,4.099999904632568
2021-04-30,4.099999904632568
2021-05-03,4.0929999351501465
2021-05-04,4.1020002365112305
2021-05-05,4.119999885559082
2021-05-06,4.114999771118164
2021-05-07,4.119500160217285
2021-05-10,4.110000133514404
2021-05-11,4.105000019073486
2021-05-12,4.116000175476074
2021-05-13,4.123000144958496
2021-05-14,4.123000144958496
2021-05-17,4.128499984741211
2021-05-18,4.127500057220459
2021-05-19,4.122000217437744
2021-05-20,4.135000228881836
2021-05-21,4.138500213623047
2021-05-24,4.138500213623047
2021-05-25,4.144999980926514
2021-05-26,4.139999866485596
2021-05-27,4.139999866485596
2021-05-28,4.13700008392334
2021-05-31,4.13100004196167
2021-06-01,4.122000217437744
2021-06-02,4.124000072479248
2021-06-03,4.122499942779541
2021-06-04,4.120500087738037
2021-06-07,4.125500202178955
2021-06-08,4.125999927520752
2021-06-09,4.117499828338623
2021-06-10,4.116000175476074
2021-06-11,4.118000030517578
2021-06-14,4.110499858856201
2021-06-15,4.112500190734863
2021-06-16,4.114500045776367
2021-06-17,4.114999771118164
2021-06-18,4.137499809265137
2021-06-21,4.136499881744385
2021-06-22,4.14300012588501
2021-06-23,4.158999919891357
2021-06-24,4.1579999923706055
2021-06-25,4.15500020980835
2021-06-28,4.153500080108643
2021-06-29,4.143499851226807
2021-06-30,4.149499893188477
2021-07-01,4.14900016784668
2021-07-02,4.156000137329102
2021-07-05,4.160999774932861
2021-07-06,4.153500080108643
2021-07-07,4.144999980926514
2021-07-08,4.159999847412109
2021-07-09,4.178999900817871
2021-07-12,4.188000202178955
2021-07-13,4.188000202178955
2021-07-14,4.190499782562256
2021-07-15,4.197999954223633
2021-07-16,4.197999954223633
2021-07-19,4.206999778747559
2021-07-20,4.2220001220703125
2021-07-21,4.2220001220703125
2021-07-22,4.231500148773193
2021-07-23,4.2204999923706055
2021-07-26,4.223999977111816
2021-07-27,4.230000019073486
2021-07-28,4.230000019073486
2021-07-29,4.230999946594238
2021-07-30,4.236000061035156
2021-08-02,4.218999862670898
2021-08-03,4.222499847412109
2021-08-04,4.230999946594238
2021-08-05,4.2195000648498535
2021-08-06,4.215000152587891
2021-08-09,4.218999862670898
2021-08-10,4.22599983215332
2021-08-11,4.22599983215332
2021-08-12,4.232500076293945
2021-08-13,4.230500221252441
2021-08-16,4.235000133514404
2021-08-17,4.235000133514404
2021-08-18,4.235499858856201
2021-08-19,4.235499858856201
2021-08-20,4.236000061035156
2021-08-23,4.235000133514404
2021-08-24,4.223999977111816
2021-08-25,4.2170000076293945
2021-08-26,4.202000141143799
2021-08-27,4.192800045013428
2021-08-30,4.1875
2021-08-31,4.1545000076293945
2021-09-01,4.15500020980835
2021-09-02,4.151299953460693
2021-09-03,4.1554999351501465
2021-09-06,4.144000053405762
2021-09-07,4.145500183105469
2021-09-08,4.1529998779296875
2021-09-09,4.1519999504089355
2021-09-10,4.145500183105469
2021-09-13,4.133999824523926
2021-09-14,4.144999980926514
2021-09-15,4.159999847412109
2021-09-16,4.156000137329102
